Column1,ID,CID,QID,RID,EID,AID,Country,Question Text,Question Text (Short),Response,Education,Age,Weighted Mean,Cat ID,Category,Question Context
559,559,1,13,3,4,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,12 to 19,All Ages,5,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
560,560,1,13,1000,4,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,12 to 19,All Ages,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
628,628,1,13,1,5,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,20 or over,All Ages,88,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
629,629,1,13,2,5,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,20 or over,All Ages,6,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
630,630,1,13,3,5,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,20 or over,All Ages,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
631,631,1,13,1000,5,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,20 or over,All Ages,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
699,699,1,13,1,2,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,Never Attended,All Ages,77,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
700,700,1,13,2,2,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,Never Attended,All Ages,8,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
701,701,1,13,3,2,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,Never Attended,All Ages,9,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
702,702,1,13,1000,2,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,Never Attended,All Ages,1,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
770,770,1,13,1,3,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,Under 12,All Ages,84,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
771,771,1,13,2,3,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,Under 12,All Ages,6,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
772,772,1,13,3,3,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,Under 12,All Ages,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
773,773,1,13,1000,3,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,Under 12,All Ages,3,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
64,64,1,14,1,1,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,All Ages,79,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
65,65,1,14,2,1,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,All Ages,13,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
66,66,1,14,3,1,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,All Ages,6,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
67,67,1,14,1000,1,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,All Ages,2,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
277,277,1,14,1,1,2,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,Under 18,81,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
278,278,1,14,2,1,2,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,Under 18,10,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
279,279,1,14,3,1,2,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,Under 18,6,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
280,280,1,14,1000,1,2,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,Under 18,1,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
348,348,1,14,1,1,3,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,18 to 35,78,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
349,349,1,14,2,1,3,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,18 to 35,15,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
350,350,1,14,3,1,3,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,18 to 35,5,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
351,351,1,14,1000,1,3,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,18 to 35,2,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
419,419,1,14,1,1,4,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,36 to 59,79,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
420,420,1,14,2,1,4,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,36 to 59,13,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
421,421,1,14,3,1,4,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,36 to 59,7,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
422,422,1,14,1000,1,4,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,36 to 59,2,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
490,490,1,14,1,1,5,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,60 plus,82,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
491,491,1,14,2,1,5,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,60 plus,11,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
492,492,1,14,3,1,5,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,60 plus,5,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
493,493,1,14,1000,1,5,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,60 plus,2,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
561,561,1,14,1,4,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,12 to 19,All Ages,80,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
562,562,1,14,2,4,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,12 to 19,All Ages,13,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
563,563,1,14,3,4,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,12 to 19,All Ages,6,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
564,564,1,14,1000,4,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,12 to 19,All Ages,1,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
632,632,1,14,1,5,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,20 or over,All Ages,79,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
633,633,1,14,2,5,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,20 or over,All Ages,13,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
634,634,1,14,3,5,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,20 or over,All Ages,5,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
635,635,1,14,1000,5,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,20 or over,All Ages,3,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
703,703,1,14,1,2,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,Never Attended,All Ages,73,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
704,704,1,14,2,2,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,Never Attended,All Ages,12,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
705,705,1,14,3,2,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,Never Attended,All Ages,10,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
706,706,1,14,1000,2,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,Never Attended,All Ages,1,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
774,774,1,14,1,3,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,Under 12,All Ages,77,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
775,775,1,14,2,3,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,Under 12,All Ages,11,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
776,776,1,14,3,3,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,Under 12,All Ages,6,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
777,777,1,14,1000,3,1,Global,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,Under 12,All Ages,3,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
15882,15882,2,13,1,1,1,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,All Ages,94,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
15883,15883,2,13,2,1,1,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,All Ages,3,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
15884,15884,2,13,3,1,1,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,All Ages,1,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
15885,15885,2,13,1000,1,1,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,All Ages,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16095,16095,2,13,1,1,2,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16096,16096,2,13,2,1,2,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16097,16097,2,13,3,1,2,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16098,16098,2,13,1000,1,2,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16166,16166,2,13,1,1,3,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,18 to 35,94,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16167,16167,2,13,2,1,3,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,18 to 35,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16168,16168,2,13,3,1,3,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,18 to 35,1,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16169,16169,2,13,1000,1,3,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,18 to 35,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16237,16237,2,13,1,1,4,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,36 to 59,94,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16238,16238,2,13,2,1,4,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,36 to 59,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16239,16239,2,13,3,1,4,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,36 to 59,0,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
16240,16240,2,13,1000,1,4,Afghanistan,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,36 to 59,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
